[ID],[BallNo],[Comment],[Page URL]
"108","14.5","BMAJ Mendis to Root, FOUR, low full toss which he puts away which a bottom-handed whip through midwicket","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"109","14.6","BMAJ Mendis to Root, 2 runs, now this is short outside off, he goes onto the back foot and places it wide of the sweeper","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"110","15.1","Herath to Taylor, 1 run, compact footwork as he comes down the pitch then drives to long off","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"111","15.2","Herath to Root, no run, comes forward and pushes at a full delivery with an open face","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"112","15.3","Herath to Root, no run, slides into the pads","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"113","15.4","Herath to Root, 1 run, tight run! Dabbed straight to short third man but Taylor races out of the blocks at the non-striker's end and actually makes it quite comfortably","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"114","15.5","Herath to Taylor, 1 run, opens the face as he drives to place this wide of cover","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"115","15.6","Herath to Root, no run, defended a little awkwardly on the back foot, squared up a little by some turn","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"116","And the players take a drink. Good little stand forming between these two","And the players take a drink. Good little stand forming between these two","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"117","16.1","BMAJ Mendis to Taylor, no run, chopped off the stumps to cover","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"118","16.2","BMAJ Mendis to Taylor, 1 run, touch quicker, pushed into the on side","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"119","16.3","BMAJ Mendis to Root, no run, full on middle, defended","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"120","Root has swapped his helmet for a wide-brimmed sunhat","Root has swapped his helmet for a wide-brimmed sunhat","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"121","16.4","BMAJ Mendis to Root, 1 run, driven down the ground to long on","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"122","16.5","BMAJ Mendis to Taylor, no run, firmly flicked back to the bowler","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"123","16.6","BMAJ Mendis to Taylor, no run, comes down the pitch and ends up yorking himself, just bunts the delivery back to Mendis","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"124","Still a slip and short cover in place","Still a slip and short cover in place","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"125","17.1","Herath to Root, 1 run, loses his shape on the shot as he tries to heave this into the leg side off the toe-end of the bat","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"126","17.2","Herath to Taylor, 1 run, hit and go...whipped with string wrists straight to midwicket but Taylor is so quick between the wickets","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"127","17.3","Herath to Root, 1 run, dabbed into the off side","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"128","17.4","Herath to Taylor, 1 run, slightly shorter, played off the back foot into the off side","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"129","17.5","Herath to Root, no run, fired in full, dug out back to Herath","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"130","17.6","Herath to Root, no run, opens the face off the back foot and finds point","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"131","18.1","BMAJ Mendis to Taylor, no run, goes for the sweep, it's a loopier delivery, gets taken on the pad","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"132","18.2","BMAJ Mendis to Taylor, no run, played back to the bowler","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"133","18.3","BMAJ Mendis to Taylor, no run, nearly a mix-up! Taylor was down the pitch, driving firmly to mid-on. Taylor was off straight away but Root had needed to take evasive action at the non-striker's end so couldn't respond as quickly","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"134","18.4","BMAJ Mendis to Taylor, no run, given! Going for the sweep, and umpire Davis is up quickly. But Taylor signals for a review instantly which suggests he's confident he's hit it. And the reply shows a healthy bottom edge into the pad","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"135","18.5","BMAJ Mendis to Taylor, no run, driven off the back foot to cover","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"136","18.6","BMAJ Mendis to Taylor, no run, misses out on a short delivery as he picks out Dilshan in the off side","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"137","A maiden from Mendis","A maiden from Mendis","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"138","And now it's the other Mendis - Ajantha","And now it's the other Mendis - Ajantha","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"139","19.1","BAW Mendis to Root, 1 run, starts full and it's eased down the ground to long on","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"140","19.2","BAW Mendis to Taylor, 2 runs, paddle-sweeps this from around off stump over his shoulder and down towards fine leg","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"141","Fifty stand between this pair","Fifty stand between this pair","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"142","19.3","BAW Mendis to Taylor, 1 run, down the pitch and whips along the ground through midwicket","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"143","DanielAlexander: ""Mix-up, dives, appeal, review and after all those drama, no runs scored off that over ""","DanielAlexander: ""Mix-up, dives, appeal, review and after all those drama, no runs scored off that over ""","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"144","19.4","BAW Mendis to Root, no run, played into the off side","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"145","19.5","BAW Mendis to Root, 1 run, comes down the track and drives just to the right of mid-off who is inside the circle","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"146","19.6","BAW Mendis to Taylor, SIX, excellent power and placement, goes over the top as he launches a full delivery over the long-off rope","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"147","20.1","BMAJ Mendis to Root, SIX, back-to-back sixes, for different batsmen, as Root brings out the slog sweep as he picks the googly from Jeevan and clears wide long on","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"148","20.2","BMAJ Mendis to Root, 1 run, driven down to long on","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"149","20.3","BMAJ Mendis to Taylor, FOUR, more aggression from Taylor as he comes down the pitch and lofts it over mid-on who had been brought inside the circle, clears him comfortable and beats long off who was running around","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"150","20.4","BMAJ Mendis to Taylor, 1 run, full delivery, eased down the ground to long off","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
